Product Name,Price,Ratings,Micron Ratings,Number of Filtration Stages,Shelf Life,Best Suited Purifiers,Filter Material,Compatible with other purifiers,Number of Packs,Product_Url
"MG WATER SOLUTION 8 Pcs Of Pre-Filter spun Water Purifier Solid Filter Cartridge + Antiscalant balls 8 pcs + 1 RO Spanner Wrench(10Inch) Solid Filter Cartridge Solid Filter Cartridge  (0.5, Pack of 17)",₹325,4,0.5,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Pack of 17,Pack of 17,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/mg-water-solution-8-pcs-pre-filter-spun-purifier-solid-filter-cartridge-antiscalant-balls-1-ro-spanner-wrench-10inch/p/itm5bf4b20fb385c?pid=WFCG4SGTXGBFGJ2Q&lid=LSTWFCG4SGTXGBFGJ2QAAGJFS&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG4SGTXGBFGJ2Q.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"Eco Crystal by ECOCRYSTAL PVT LTD,BANGALORE,KARNATAKA Aqua Merit Nylon Water Softener for Washing Machine Best for IFB and Branded Washing Machine-Mkt By Electro Tech Solid Filter Cartridge  (0, Pack of 1)",₹999,3.9,0,Shelf Life: 60 Months,"Best Suited for AUTOMATIC WASHING MACHINE, IFB /LG/BOSCH/WHIRLPOOL /SAMSUNG AND OTHER BRANDED AUTOMATIC WASHING MACHINE, BRANDED AUTOMATIC WASHING MACHINE, WATER SOFTENER FOR BRANDED DISHWASHER","Filter Material: [""Polyvinyl Chloride (PVC)""]","Filter Material: [""Polyvinyl Chloride (PVC)""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/eco-crystal-ecocrystal-pvt-ltd-bangalore-karnataka-aqua-merit-nylon-water-softener-washing-machine-best-ifb-branded-machine-mkt-electro-tech-solid-filter-cartridge/p/itm5af9c9ba094a2?pid=WFCFZ3SHRHPDH7KY&lid=LSTWFCFZ3SHRHPDH7KYCAREBJ&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_KwD7m6RCREGH52pnNMw7Xrbj9g11vgA0jf8K3B5jOMUJ0HRQuHcXRoc90EffNfkV6OT50c95GG37l%2B8U%2B%2BvYpA%3D%3D&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"Eco Crystal by ECO CRYSTAL PVT LTD FRESH N CLEAN J - INDIA'S NO 1 WATER SOFTENER- BEST FOR IFB & BRANDED WASHING MACHINE -BY ELECTRO TECH Solid Filter Cartridge  (5, Pack of 1)","₹1,999",4.2,5,Shelf Life: 12 Months,"Best Suited for BRANDED AUTOMATIC WASHING MACHINE, BRANDED DISHWASHER, IFB AUTOMATIC WASHING MACHINE, WHIRLPOOL AUTOMATIC WASHING MACHINE, SAMSUNG AUTOMATIC WASHING MACHINE, LG AUTOMATIC WASHING MACHINE, BOSCH AUTOMATIC WASHING MACHINE / DISH WASHER","Filter Material: [""Polypropylene (PP)"",""Polyvinyl Chloride (PVC)""]","Filter Material: [""Polypropylene (PP)"",""Polyvinyl Chloride (PVC)""]",Filtration Stages: 2,Filtration Stages: 2,https://www.flipkart.com/eco-crystal-pvt-ltd-fresh-n-clean-j-india-s-no-1-water-softener-best-ifb-branded-washing-machine-by-electro-tech-solid-filter-cartridge/p/itm80ac79b6c052d?pid=WFCFZP5UEBQMQCVG&lid=LSTWFCFZP5UEBQMQCVG9CBC9D&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_KwD7m6RCREGH52pnNMw7Xrbj9g11vgA0jf8K3B5jOMVcA9y%2FnzvKUmHXf2HpHVgUQBKg6kqn8mEreJW%2Fcea5lg%3D%3D&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"LEXUS AQUAFRESH kemflo Spun Filter Candle 10 inch suitable for all water purifier RO Solid Filter Cartridge  (5, Pack of 4)",₹234,3.9,5,Filtration Stages: 1,Shelf Life: 24 Months,"Best Suited for All Types of Water Purifier,LEXUS AQUAFRESH AND OTHERS, All Types of Water Purifier","Best Suited for All Types of Water Purifier,LEXUS AQUAFRESH AND OTHERS, All Types of Water Purifier",Used For: REVERSE OSMOSIS RO WATER PURIFIER,Used For: REVERSE OSMOSIS RO WATER PURIFIER,https://www.flipkart.com/lexus-aquafresh-kemflo-spun-filter-candle-10-inch-suitable-all-water-purifier-ro-solid-cartridge/p/itmfh8rnawmagk8s?pid=WFCFH8E9KFYFZDRX&lid=LSTWFCFH8E9KFYFZDRXYIIKTZ&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCFH8E9KFYFZDRX.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"VENTRON MEMBRANE ORIGINAL VONTRON 75 GDP TESTED AND VERIFIED COMPATIBLE TO ALL AVAILABLE BRANDS IN MARKET Solid Filter Cartridge  (0.0005, Pack of 1)",₹396,4.2,0.0005,"Filter Material: [""Polyethylene (PE)""]",Compatible With: Electric Water Purifiers,Pack of 1,Pack of 1,Filtration Stages: 4,Filtration Stages: 4,https://www.flipkart.com/ventron-membrane-original-vontron-75-gdp-tested-verified-compatible-all-available-brands-market-solid-filter-cartridge/p/itm4943f8f0eccd1?pid=WFCGFBH8B86YNP3Z&lid=LSTWFCGFBH8B86YNP3ZUXOIR1&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&spotlightTagId=TrendingId_h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCGFBH8B86YNP3Z.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"AQUANZA 12 pcs 10'' PP Spun Filter Candle Suitable For All Types Of Ro Water Purifier Solid Filter Cartridge  (0.005, Pack of 12)",₹444,4,0.005,Shelf Life: 12 Months,"Best Suited for All Kinds Of Ro/Uv Water Purifiers. Easy to install accessories for Water Purifiers., Aquaguard Reviva, Aquaguard Enhance, Aquaguard Aquasure, Dolphin Purifiers, Kent Supreme, Kent Grand, Kent Pearl, Kent Superstar, Kent Super, ZeroB IonExchange, Aquagrand, Aqua Grand, Aqufresh, Aqua Fresh, Aquasure, All Domestic RO Systems and Water Filters","Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/aquanza-12-pcs-10-pp-spun-filter-candle-suitable-all-types-ro-water-purifier-solid-cartridge/p/itmba707ebd0e809?pid=WFCG4QDBHF4GJY7R&lid=LSTWFCG4QDBHF4GJY7R4MNLAL&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&spotlightTagId=BestsellerId_h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG4QDBHF4GJY7R.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"GE FILTRATION Lexpure Sediment and Carbon Filter Cartridges with 100 GPD membrane,One year RO service kit(Pack of 1pc Sediment Filter , 1pc Carbon filter, 1pc 75 GPD membrane with FR, 4pcs Elbow Connectors for easy installation) suitable for all kind of domestic RO water purifier Solid Filter Cartridge  (0.005, Pack of 9)",₹774,4.1,0.005,Shelf Life: 12 Months,"Best Suited for All Domestic water purifier, All RO water purifier system., All Kind of Domestic water purifiers","Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 7,Filtration Stages: 7,https://www.flipkart.com/ge-filtration-lexpure-sediment-carbon-filter-cartridges-100-gpd-membrane-one-year-ro-service-kit-pack-1pc-filter-75-membrane-fr-4pcs-elbow-connectors-easy-installation-suitable-all-kind-domestic-water-purifier-solid-cartridge/p/itm40dac50403fc9?pid=WFCG6RTZWPXBCGXQ&lid=LSTWFCG6RTZWPXBCGXQ84WXEB&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG6RTZWPXBCGXQ.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"MG WATER SOLUTION 10"" PP Spun Filter 20 piece 5 Micron for all type of RO Water Purifier Solid Filter Cartridge  (0.5, Pack of 20)",₹573,4.3,0.5,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Pack of 20,Pack of 20,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/mg-water-solution-10-pp-spun-filter-20-piece-5-micron-all-type-ro-purifier-solid-cartridge/p/itm69904f1c1f2e1?pid=WFCGYAXEYYS8TDDR&lid=LSTWFCGYAXEYYS8TDDRERMIQY&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCGYAXEYYS8TDDR.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"D'Cal by D'Cal Whole House Hard Water Softner Solid Filter Cartridge  (0.001, Pack of 1)","₹3,510",3.7,0.001,Filtration Stages: 2,Shelf Life: 1 Year,Best Suited for Anti scale,Best Suited for Anti scale,"Used For: Process Water, NO Electricity Required, NO Maintenance, NO Plumbing, NO Regeneration, NO Plumbing, NO Water Wastage, NO High Cost, NO Manpower Required, NO Toxic Material used","Used For: Process Water, NO Electricity Required, NO Maintenance, NO Plumbing, NO Regeneration, NO Plumbing, NO Water Wastage, NO High Cost, NO Manpower Required, NO Toxic Material used",https://www.flipkart.com/d-cal-whole-house-hard-water-softner-solid-filter-cartridge/p/itm5e58c842e6c97?pid=WFCFN6YHZ9HQTUMN&lid=LSTWFCFN6YHZ9HQTUMNL2YZEA&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_KwD7m6RCREGH52pnNMw7Xrbj9g11vgA0jf8K3B5jOMWLwIiqebwWAY67ZHiycDjzSxryuI5PTfq8bHpMcsbcUA%3D%3D&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"Remino 10 Inch Spun Pre Filter (PP) Cartridge 130 gm premium Compatible for Water Purifier Filter Housing (Pack of 4 PP) Solid Filter Cartridge  (0.3, Pack of 2)",₹299,4.1,0.3,Shelf Life: 12 Months,Best Suited for Ro water purifier,"Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/remino-10-inch-spun-pre-filter-pp-cartridge-130-gm-premium-compatible-water-purifier-housing-pack-4-pp-solid/p/itmba7b0cb3a7800?pid=WFCG8WZ7AB8P2CYZ&lid=LSTWFCG8WZ7AB8P2CYZOESPJ4&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG8WZ7AB8P2CYZ.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"Smart Flyer Ro Aquaguard Ro Spun PP 10 for RO Service Solid Filter Cartridge Solid Filter Cartridge  (0.005, Pack of 4)",₹249,3.9,0.005,Filtration Stages: 1,Shelf Life: 18144000 Months,"Best Suited for Aquaguard Reviva, Aquaguard Enhance, Aquaguard Aquasure, Dolphin Purifiers, Kent Supreme, Kent Grand, Kent Pearl, Kent Superstar, Kent Super, ZeroB IonExchange, Aquagrand, Aqua Grand, Aqufresh, Aqua Fresh, Aquasure, All Domestic RO Systems and Water Filters","Best Suited for Aquaguard Reviva, Aquaguard Enhance, Aquaguard Aquasure, Dolphin Purifiers, Kent Supreme, Kent Grand, Kent Pearl, Kent Superstar, Kent Super, ZeroB IonExchange, Aquagrand, Aqua Grand, Aqufresh, Aqua Fresh, Aquasure, All Domestic RO Systems and Water Filters","Used For: Water filtration, To enhance taste of water","Used For: Water filtration, To enhance taste of water",https://www.flipkart.com/smart-flyer-ro-aquaguard-spun-pp-10-service-solid-filter-cartridge/p/itm82cc71b84f4ac?pid=WFCFKBV8XVWUQCKC&lid=LSTWFCFKBV8XVWUQCKCKQA58Q&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCFKBV8XVWUQCKC.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"MG WATER SOLUTION 10"" Polypropylene (PP) Spun Filter Candle Suitable for All Types of Domestic Water Purifiers (Size: 10"" x 2.5"") with 1 Pc. 10"" Single Wrench Spanner Key & 1 Pc. TDS Meter Solid Filter Cartridge  (0.5, Pack of 12)",₹478,4,0.5,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Pack of 12,Pack of 12,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/mg-water-solution-10-polypropylene-pp-spun-filter-candle-suitable-all-types-domestic-purifiers-size-x-2-5-1-pc-single-wrench-spanner-key-tds-meter-solid-cartridge/p/itmcd43acc78acfe?pid=WFCGY29QTRNMPHFZ&lid=LSTWFCGY29QTRNMPHFZSDGY0U&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCGY29QTRNMPHFZ.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"chirag distribution RO Water Purifier Thik Outer Candle/Spun(10 inch/2.76inch) Solid Filter Cartridge  (0005, Pack of 2)",₹199,4.2,0005,Shelf Life: 1 Year,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Compatible With: Electric Water Purifiers,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/chirag-distribution-ro-water-purifier-thik-outer-candle-spun-10-inch-2-76inch-solid-filter-cartridge/p/itm79ba4e071a7a2?pid=WFCGY5W8GVNFZ8WG&lid=LSTWFCGY5W8GVNFZ8WGQZAGRU&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_KwD7m6RCREGH52pnNMw7Xrbj9g11vgA0jf8K3B5jOMWXoGraH63Bte6M919D2wTAyf8MoNOY3mCjS%2FJhctsAKg%3D%3D&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"AquaDpure Complete 100 GPD RO Water Purifier Service Kit filter Suitable for All Type of Water Purifier (Complete kit of Carbon and sediment) Solid Filter Cartridge  (0.3, Pack of 19)","₹1,089",4,0.3,"Filter Material: [""Plastic""]",Compatible With: Electric Water Purifiers,Pack of 19,Pack of 19,Filtration Stages: 7,Filtration Stages: 7,https://www.flipkart.com/aquadpure-complete-100-gpd-ro-water-purifier-service-kit-filter-suitable-all-type-complete-carbon-sediment-solid-cartridge/p/itmf43af0281ae33?pid=WFCG5ZMHF2ZYYCFH&lid=LSTWFCG5ZMHF2ZYYCFHBMJRC2&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG5ZMHF2ZYYCFH.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"AquaDart RO Service kit of membrane & filter for All Type Of Water Purifier (RO Membrane Inline+TDS Meter+UF+Mineral+Housing) And Connectors Solid Filter Cartridge  (0.3, Pack of 27)","₹1,399",4,0.3,Shelf Life: 12 Months,Best Suited for All Type Of Ro Water Purifier,"Filter Material: [""Polyvinyl Chloride (PVC)""]","Filter Material: [""Polyvinyl Chloride (PVC)""]",Filtration Stages: 8,Filtration Stages: 8,https://www.flipkart.com/aquadart-ro-service-kit-membrane-filter-all-type-water-purifier-ro-inline-tds-meter-uf-mineral-housing-connectors-solid-cartridge/p/itm6253c2eb1d0f6?pid=WFCFU7JFFASQGZGX&lid=LSTWFCFU7JFFASQGZGX3EKFIN&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCFU7JFFASQGZGX.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"AQUANZA Pre filter set kit for all domestic RO water purifier/Complete filter set Pack of (2PCS candle filter 10inch,Teflon Tap, Black Spanner, 2elbow, 3m White pipe) Solid Filter Cartridge Solid Filter Cartridge  (0.005, Pack of 8)",₹303,4.1,0.005,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Pack of 8,Pack of 8,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/aquanza-pre-filter-set-kit-all-domestic-ro-water-purifier-complete-pack-2pcs-candle-10inch-teflon-tap-black-spanner-2elbow-3m-white-pipe-solid-cartridge/p/itma0ff1c02350c0?pid=WFCG6GAZHQQGU8YS&lid=LSTWFCG6GAZHQQGU8YS3FW6VU&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&spotlightTagId=FkPickId_h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG6GAZHQQGU8YS.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"chirag distribution Oraganic Food Grade 10 mtrs Pipe Tube 1/4"" for All Types of RO Water Purifier Solid Filter Cartridge  (0.5, Pack of 1)",₹165,3.8,0.5,Shelf Life: 5 Year,Best Suited for any ro uv and uf water purifier,"Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/chirag-distribution-oraganic-food-grade-10-mtrs-pipe-tube-1-4-all-types-ro-water-purifier-solid-filter-cartridge/p/itm0de6d4156fbdc?pid=WFCFUP8Y8HCQSRFG&lid=LSTWFCFUP8Y8HCQSRFGAWF8KK&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_KwD7m6RCREGH52pnNMw7Xrbj9g11vgA0jf8K3B5jOMXSn0Qj6hw9CYo84EWRX6yuTOvu5o%2Ba5z%2F4ikM3VB5pFw%3D%3D&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"AQUA PRODUCT Full RO Service kit of membrane & filter tds meter for all types of ro models)(1 Year Full service kit)(Ro purifier filter service kit with RO pump 100GPD & adapter) (ro membrane) (Ro Service Inline Filter set) (ro kit) (One year full ro service kit )( Complete RO Service kit ) (complete Ro purifier filter service kit) (RO full Service Kit ) (Full Service one year kit vontron membrane) (Full Service Kit With 02 Inline) (Complete 80 GPD RO Water Purifier Service Kit) ( ONE Year complete service kit )(RO Water Purifier Service kit )(Water Purifier Maintenance Service Kit )( RO Replacement Service kit)( ro water filter kit)(Universal Ro Service Kit and Combo) (ro filter)(ro membrane) (FULL SERVICE ONE YEAR RO+UV FILTER RO KIT WITH 80GPD MEMBRANE) (1 Year RO service Kit with Inline set carbon and sediment) (Membrane Housing Membrane RO Replacement Service kit )(ro filter kit with membrane)(ro filter kit with all accerioes) (replacement ro kit) RO Service kit vontron membrane Solid Filter Cartridge  (0.5, Pack of 27)","₹1,539",3.9,0.5,Shelf Life: 12 Months,"Best Suited for Best Suited for All Type Of Ro Water Purifier, Best Suited for All Ro Water Purifiers, RO+UV+UF+Alkaline Water Purifier, WITH ALL RO MODELS /ro kit /ro service kit","Filter Material: [""High Density Polyethelyne(HDPE)""]","Filter Material: [""High Density Polyethelyne(HDPE)""]",Filtration Stages: 7,Filtration Stages: 7,https://www.flipkart.com/aqua-product-full-ro-service-kit-membrane-filter-tds-meter-all-types-models-1-year-kit-ro-purifier-pump-100gpd-adapter-ro-membrane-inline-set-kit-one-complete-complete-full-one-vontron-02-inline-80-gpd-water-ro-water-maintenance-replacement-kit-kit-universal-combo-filter-ro-ro-uv-80gpd-1-set-carbon-sediment-membrane-housing-membrane-ro-accerioes-replacement-solid-cartridge/p/itm448d8659812d5?pid=WFCG7DZNAM66T5JK&lid=LSTWFCG7DZNAM66T5JKJMEYQZ&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCG7DZNAM66T5JK.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"Morning Star Technology Sediment filter 10"" 5 Micron cartridge candle to fit most standard 10"" 5 Micron filter housings ( PACK OF 1 ) Solid Filter Cartridge  (0.005, Pack of 1)",₹199,3.9,0.005,Filtration Stages: 1,Shelf Life: 6 Months,"Best Suited for Aquaguard, Kent, Pentair, Luminous, USHA Brita, A-pure, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers Suitable for water use only. 10"" cartridge / filter / candle to fit most standard 10"" filter housings. Sediment filter removes sand, silt, dirt and rust particles. Increases the life of other inline filters. Suitable for water use only This filter is suitable for Aquaguard, Kent, Pentair, Luminous, USHA Brita, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers","Best Suited for Aquaguard, Kent, Pentair, Luminous, USHA Brita, A-pure, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers Suitable for water use only. 10"" cartridge / filter / candle to fit most standard 10"" filter housings. Sediment filter removes sand, silt, dirt and rust particles. Increases the life of other inline filters. Suitable for water use only This filter is suitable for Aquaguard, Kent, Pentair, Luminous, USHA Brita, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers",Used For: water filter cartridge,Used For: water filter cartridge,https://www.flipkart.com/morning-star-technology-sediment-filter-10-5-micron-cartridge-candle-fit-most-standard-housings-pack-1-solid/p/itmffazag6gwpcmh?pid=WFCFF88DPHZZGCGY&lid=LSTWFCFF88DPHZZGCGYXEXDHO&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCFF88DPHZZGCGY.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"MG WATER SOLUTION Pre filter housing 1 Year complete service kit with all Installation accessories & PP 1 Spun filters, East to install using Built in Hanging PLate, Compatible with all Branded/Non branded RO/UV/UF Water purifiers Solid Filter Cartridge  (0.5, Pack of 6)",₹319,4,0.5,Shelf Life: 6 Months,Best Suited for ALL TYPES OF DOMESTIC WATER PURIFIERS,"Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/mg-water-solution-pre-filter-housing-1-year-complete-service-kit-all-installation-accessories-pp-spun-filters-east-install-using-built-hanging-plate-compatible-branded-non-branded-ro-uv-uf-purifiers-solid-cartridge/p/itm42221e0629e7a?pid=WFCGYC6HSEDQ4VMZ&lid=LSTWFCGYC6HSEDQ4VMZWN5NSL&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCGYC6HSEDQ4VMZ.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
"Cosmo RO by AAVZAA PREFILTER HOUSING BOWL FILTER + PP SPUN FILTER + 1/4"" NOSEL & SPANNER KEY FOR RO WATER PURIFIE SOLID FILTER CARTRIDGE (0.005, PACK OF 1) Solid Filter Cartridge  (0.005, Pack of 5)",₹244,4,0.005,Shelf Life: 12 Months,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Compatible With: Electric Water Purifiers,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/cosmo-ro-aavzaa-prefilter-housing-bowl-filter-pp-spun-1-4-nosel-spanner-key-water-purifie-solid-cartridge-0-005-pack-1/p/itm184638fc8bb22?pid=WFCFVX5VU7GVZFVE&lid=LSTWFCFVX5VU7GVZFVEWDZQGC&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=17a1b725-665a-4b84-9189-93038bb86197.WFCFVX5VU7GVZFVE.SEARCH&ppt=None&ppn=None&ssid=8ln42l07k00000001683142966045&qH=5785f7b9d14747e9
